,Date,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,
HIG US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,5742.1139,6245.1067,6921.7031,7935.03,8503.3934,9783.3667,10164.6699,11038.1293,12782.2763,13382.6761,10878.4627,12478.3009,12887.688,13201.1916,9138.628,10291.1291,11328.3263,12484.2991,16408.9722,15981.8019,13974.917,16275.9852,13985.2891,15427.0269,16806.8389,14723.3447,10455.328,11595.5949,9014.5129,14211.5416,14879.4912,16727.8624,18579.8037,20143.2043,18179.3595,20391.5752,20327.7117,22340.0632,23161.7046,25951.8353,24403.1863,25729.4996,27465.2582,30168.5591,30238.7402,31284.5103,29034.9711,27363.884,23832.317,19573.9435,12311.5105,4935.5072,2554.6647,3878.2732,10150.295,8908.7428,12616.4053,9828.1764,10198.1997,11776.103,11986.7584,11742.1918,7190.596,7191.2587,9293.4342,7679.6104,8477.123,9790.7066,11231.6688,14035.4228,13957.1022,16422.6967,15959.1812,16141.3933,16150.4453,17693.903,17622.488,17307.4617,18829.9549,17463.1407,18229.3862,17215.7061,16256.5274,17818.6771,17747.2517,19073.4474,19818.4422,20082.6758,18448.127,18322.8957,17919.4531,15964.2612,
HAS US  EQUITY,HISTORICAL_MARKET_CAP,2786.0942,2733.4908,2707.695,3221.516,3104.4227,3198.6156,3286.0191,3548.7903,3679.8589,3540.096,4086.6304,4682.4712,5140.217,4051.3641,4364.8828,5855.7411,5370.1023,4434.6359,3497.835,2876.3192,2594.9753,1970.8977,1832.1856,2224.7985,2493.1741,2417.6029,2853.807,2738.1702,2347.8326,1929.0804,1925.6504,2399.1244,3039.505,3177.0939,3724.0888,3743.1657,3420.9279,3224.4697,3402.6799,3690.9055,3598.0265,3618.7061,3623.0553,3676.2639,2978.2988,3599.5371,4376.9063,4578.5751,5059.4335,4170.9109,3762.3137,3932.6775,4957.1804,4963.8647,4043.2222,3560.0074,3422.5488,3776.8769,4410.4263,5393.0093,6074.7042,6050.9584,6667.4299,6459.9071,5850.3501,4460.1236,4171.5765,4761.7818,4411.7076,4955.3074,4552.8789,5682.861,5826.8468,6151.7743,7129.3595,7186.0325,6651.6123,6890.032,6916.1825,7602.7565,9704.4837,9346.8312,8438.667,9652.0735,10444.4554,10015.4194,9754.7976,12478.4468,13947.5213,12165.3189,11311.2339,10536.5101,11753.3294,13320.3345,10232.8484,
HCA US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17463.8563,17064.1053,8799.5154,9637.6381,10844.8804,13403.9159,14675.9847,13371.35,18115.1374,16121.2324,19133.7628,20973.5068,23320.5577,24320.7985,30561.8659,30858.8731,31534.8437,37771.1722,31921.6989,26966.6983,30724.3825,29268.5438,28447.5287,27427.0673,32810.1414,31644.444,28412.0223,30752.0461,34045.7875,35577.5965,48008.3365,42673.3076,
HCP US  EQUITY,HISTORICAL_MARKET_CAP,913.408,966.9957,1003.6617,902.9475,967.5759,935.6046,1003.7151,950.9525,1012.1685,1113.1712,1142.5545,1143.5599,1116.6048,1022.5623,952.635,892.5201,925.3045,1351.8238,1227.6764,1300.0064,1387.9183,1509.7493,1519.8608,1732.0337,1901.751,2144.1102,2041.7733,2320.1151,2500.0842,2513.83,2277.701,2033.3787,2682.596,3025.976,3025.976,3736.1663,3190.2143,3458.8363,3700.9988,3152.4545,3667.4276,3666.8196,3481.1126,3886.2987,3664.6959,4271.2414,7312.4172,7421.7164,5970.5352,6875.391,7540.9572,7364.3597,7523.462,10109.7851,7042.5124,4533.4545,5832.6133,8424.9891,8964.9609,9700.8914,9934.2538,11172.0567,13646.3266,15403.9783,14937.2495,14296.749,16929.5179,16550.8269,18958.0811,19125.5177,20466.1201,22657.2191,20593.0136,18668.0384,16596.8107,17767.5168,18982.7469,18232.6684,20242.6281,19945.033,16866.8796,17300.4506,17800.2799,15212.4144,16533.9555,17753.7759,13911.3819,14652.9974,14985.3838,13053.2406,12242.8825,10911.7169,12131.0013,12368.1956,13336.4772,
HP US  EQUITY,HISTORICAL_MARKET_CAP,730.361,696.5156,736.7587,837.7425,909.7284,1086.9169,1298.8507,1153.105,1439.0691,2001.12,1705.9703,1574.8621,1128.5838,1037.043,957.4482,1121.5007,1169.3667,1256.1581,1080.018,1541.2891,1864.2218,1809.4021,2197.8743,2343.1968,1558.3825,1301.3277,1664.3268,2000.3707,1785.3213,1711.8765,1396.114,1281.8199,1462.7156,1310.6596,1401.4995,1443.5875,1318.1953,1447.2796,1725.4195,2030.6595,2311.7015,3136.3299,3313.9804,3660.1739,3225.6546,2392.1064,2525.9868,3132.9358,3791.991,3514.711,4151.4485,4882.2091,7577.1453,4623.8309,2395.8458,2398.1342,3255.3929,4169.8702,4214.2543,4025.6759,3864.2351,4281.4433,5151.0811,7340.2721,7073.9744,4347.7048,6264.2321,5794.8385,4595.2248,5032.2672,5950.5537,6458.7396,6648.1211,7358.1351,9034.0458,11623.54,12563.0951,10592.6936,7256.7742,7328.0417,7581.1797,5093.1117,5783.9676,6344.0603,7254.3081,7273.6437,8402.7393,7227.2469,5900.3213,5659.3569,7035.7619,7246.8403,6946.241,7495.498,5244.8704,
HSIC US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,537.0007,842.9153,834.124,1157.0265,679.3406,737.1369,974.2975,1279.7338,1365.3256,1659.7668,1381.8822,1612.5836,1013.5024,1235.738,590.1355,440.1336,697.741,695.4916,768.2277,1450.2335,1553.5694,1624.0568,1644.5916,1595.4905,1892.3439,1945.1394,2339.2337,1970.699,2001.9304,2295.7035,2439.3749,2961.3746,3062.9238,2825.0374,2642.405,2930.5175,3123.8396,3612.3116,3754.8479,3800.7053,4223.978,4119.7483,4440.1893,4334.6967,4900.3222,4758.6041,5445.3859,5558.115,5114.4831,4614.7016,4927.9538,3161.2684,3606.9242,4283.8653,4952.9553,4804.3434,5279.1608,5099.1846,5295.3612,5714.9579,6223.9604,6422.5781,5690.0897,5794.0663,6824.7926,6978.125,6992.3417,7024.5397,8087.1618,8303.1741,8902.299,9797.7772,10075.9404,10105.7295,9892.7634,11541.5129,11641.2575,12167.4967,10932.6016,12946.6226,13784.503,13979.8259,13261.9533,12046.154,13507.1802,14494.2308,12868.555,10739.8674,10352.0205,11130.7484,12961.7759,11797.218,
HES US  EQUITY,HISTORICAL_MARKET_CAP,4545.5215,4522.5628,4928.9471,5114.3949,4994.4181,4924.7246,5377.7449,4918.718,5097.2481,5655.2018,5018.3734,5329.1798,4940.1514,5212.9141,4495.2609,4597.457,5388.5583,5555.0629,5145.8632,5855.0318,5562.6564,5928.9559,6483.8587,6963.3824,7233.4584,5632.0055,5547.3128,7060.5005,7361.805,6054.9639,4910.0747,3980.2133,4423.2984,4502.7876,4778.2813,5876.4403,7217.6934,8157.117,7555.4817,8881.9148,9893.3944,12792.3125,11802.6301,13309.1312,14825.7991,11645.5644,15615.4423,17599.3552,18748.7494,21252.942,32335.716,28478.701,41054.1498,26763.6614,17493.7741,17725.4596,17579.045,17485.2157,19797.3545,20537.6044,16532.6628,19420.7426,25846.1037,28949.8419,25409.5783,17831.154,19310.6368,20137.9721,14838.7157,18347.9075,18087.3026,24583.5567,22832.7526,26108.0632,27001.0767,26041.5859,30430.881,28198.7151,21100.337,19504.6172,19198.4231,14322.0255,13867.49,16675.2753,19032.1289,16977.2211,19716.2301,15326.745,13943.8016,14899.4862,14955.5951,15593.7492,20046.1436,21205.7995,11803.0986,
HPE US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,25642.24,23846.08,28721.84,34977.28,35839.65,37716.84,30664.98,28436.24,22202.4,25698.8,26035.35,22882.08,21700.75,21483.02
HLT US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21907.6918,21897.8457,22941.5846,24251.1257,25688.8366,29248.14,27204.2742,22652.1457,7043.8696,22289.4552,22299.6636,22695.7023,8958.1022,19270.1049,20115.7992,22287.9234,25349.2357,24959.4099,23628.2986,23988.6061,21167.7809,
HOLX US  EQUITY,HISTORICAL_MARKET_CAP,69.36,107.226,171.544,251.1828,500.1578,350.7348,318.9285,312.336,346.4875,335.9694,276.171,379.335,245.49,171.6624,160.2,116.9875,85.6631,63.8929,91.62,137.943,103.4573,114.6788,81.8709,61.88,105.2572,78.9063,187.6155,295.6358,280.0958,191.2476,249.0242,172.7704,172.7704,271.324,343.1115,392.8727,466.9384,391.4924,583.1874,689.1602,838.4041,1188.2304,1766.9793,2495.6131,2191.584,2287.1936,2491.6087,3097.8618,1489.1664,3357.623,8863.3108,7102.0938,5635.8649,5123.18,3174.8508,3460.2794,3700.2153,4195.7467,3843.4891,4729.8878,3690.1536,4319.4215,4903.0542,5706.2092,5226.7127,4090.944,4553.2562,5577.1872,4687.2349,5366.7115,5319.0361,6082.112,5210.5561,5683.6935,6113.3134,5799.1172,7091.569,6771.3979,7526.0194,9127.1883,10766.8013,11299.8,11080.626,9609.756,9450.9259,10678.5647,11142.3671,11901.5328,12716.7466,10100.5002,11807.1225,10229.9526,10792.443,11068.2062,10813.2558,
HD US  EQUITY,HISTORICAL_MARKET_CAP,19846.5304,21133.1496,17581.2996,21529.4077,22557.9831,24192.328,26531.3255,23785.4932,27955.9251,35905.548,40778.3926,44292.5323,50907.7214,61568.8963,64203.6749,89264.8476,88399.5853,94626.218,116231.1787,128177.6273,130552.3465,121996.2202,91273.7306,103987.6782,112047.7956,115958.0715,94245.7636,115886.8642,109368,66981.08,66051.5248,47923.7,67369.13,72842,87818.83,80055.79,83611.44,80186.16,97811.48,88295.85,76080.87,93241.93,86064.48,84960,84691.53,71462.94,75771.08,78681.8,75901.31,72691.5,52918.8,51460.5,51143.76,40606.1,39985.05,36514.88,43886.31,44201.76,42678.09,47560.98,59397.78,47497.66,50737.8,59564.1,59365.7,54805.17,55660.92,68965.19,79483.5,80940.97,89819.84,99873.2,108055.56,115130.05,108401.92,106053,108619.2,107343.5,128531.36,136476.94,142305.45,150266.52,156775.52,157451.52,166693.05,170864.64,150767.6,166410.99,186851.7,174882.48,195453.12,239972.34,215174.84,225725.3,194792.13,208251.0774
HON US  EQUITY,HISTORICAL_MARKET_CAP,12600.6202,12480.8885,13431.5745,16718.5988,16151.8078,18629.5155,18948.6051,20164.6045,23770.7388,23974.6744,21670.6884,23743.4403,24906.135,19811.7683,35243.26,27185.3541,34663.9016,33121.5456,45869.2349,42053.1063,26985.4056,28410.4388,38194.9554,33018.6648,28325.3984,21468.1896,27562.1501,31289.9347,28863.5859,17783.9652,20507.8315,18324.7863,23092.4766,22715.0445,28827.6925,29083.7841,31486.1231,30845.6256,30098.9704,31741.2323,31324.0217,31603.4642,30898.2435,35410.9068,33003.3114,33395.2507,36218.7589,35913.7955,42119.7195,44410.3889,45965.3213,41836.8089,37430.2651,30177.2362,24116.466,20723.6401,23614.4994,28347.0971,29956.64,34685.0633,30139.3408,34280.7856,41624.28,46992.2748,46624.7208,33964.2693,42104.945,47568.9739,43586.9488,46806.4869,49684.316,59284.1701,62269.455,65159.2238,71615.806,72642.2317,72737.4348,72895.2975,78157.424,81539.9082,79716.3126,72976.7705,79790.328,85395.0376,88504.942,88856.1198,88138.68,95193.1655,101376.2645,107980.7598,115158.024,107938.83,106973.0464,123183.9736,96394.752,
HRL US  EQUITY,HISTORICAL_MARKET_CAP,2103.8234,1888.2942,1792.9093,1841.4,2046.8297,1753.6121,1840.8625,1886.8675,1902.4649,2159.7428,2211.7412,2452.8588,2462.8029,2599.5296,2393.2136,2583.8533,2677.9359,2857.5624,3077.4862,2715.1847,2138.9193,2292.5053,2329.6913,2632.526,2840.5759,3486.3724,3216.6851,3583.6096,3469.6115,3083.9541,3453.362,3012.0192,3007.5769,3227.9587,3268.0935,3575.4224,4307.9486,4032.3654,3875.6662,4232.3259,4304.3775,4077.7316,4346.1926,4685.6326,4626.1976,5219.4116,4951.1053,5153.8695,5254.183,4774.3406,4991.5568,5065.4942,5372.1904,4875.2018,3831.1461,4087.3883,4113.0447,4816.7755,4850.7879,5153.7719,5341.3616,5688.5602,6106.5123,13260.5326,7864.769,7715.52,7905.6994,7659.5811,7639.2112,7476.2215,7717.7192,9353.8085,10918.3826,10942.4386,11500.7749,11913.6785,12576.2294,12598.2085,13850.2376,14067.6587,14495.623,15214.3275,18053.1833,20110.6292,19961.4743,19514.4352,20198.6534,19100.4113,18541.055,18022.3106,16053.5091,18369.3917,19333.9366,19464.9471,21990.3579,22164.516
HST US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2532.0501,2765.7126,2172.65,1843.875,1950.725,2160.7125,2401.2,2863.0688,2785.7901,3378.4238,3190.5901,2368.8001,3175.2,3039.904,2658,2333.7451,1830.34,2329.35,2954.0431,3946.0959,3942.816,4254.22,4789.1248,6079.22,5807.552,6202.21,6235.745,6840.95,8157.2601,11068.9085,11799.062,12793.005,14026.14,12491.0243,11182.443,8951.112,8438.926,8064.23,7430.648,3976.521,2237.2,4631.236,6516.735,7542.321,9525.04,10120.275,9380.021,11549.381,12087.075,11161.633,7511.863,10414.327,11620.26,11231.622,11784.9,11354.482,12991.572,12622.134,13333.782,14673.312,15287.272,16630.756,16119.081,17965.366,15262.134,14870.517,11675.685,11509.602,12461.54,12006.747,11492.217,13900.152,13782.276,13497.876,13662.261,14671.135,13784.28,15587.586,15614,12342.468,
HPQ US  EQUITY,HISTORICAL_MARKET_CAP,33823.6639,39859.3853,47234.5807,43216.7376,54124.7811,44739.8171,44748.1768,53476.5781,53305.0342,72722.8564,64154.2128,62157.1619,78349.0737,57559.9904,61178.0307,79577.1933,79932.2398,106663.5788,74526.4627,108262.124,134626.1874,108014.9296,90550.008,71599.55,55125.77,47815.74,32633.37,42937.62,33806.7,43171.65,43171.65,53135.32,49568.3,64547.33,67889.33,67889.33,67889.33,67889.33,54319.26,56850.18,58933.13,70610.16,79549.48,88083.5,90980.94,87305.76,105837.68,116509.76,110027.54,119539.91,133334.4,109912.08,114623.55,109580.8,92446.2,83573.75,86028.18,103140.6,112242.9,110567.43,121869.65,105707.84,92656.16,99330.06,85826.62,70410.34,52980.51,55344.44,48975.28,35878.08,27187.55,32244.03,39655,49536.72,46497.96,55071,61987.5,66412.65,65983.32,65828.86,59576.79,54966.52,48635.84,16866.27,20993.97,23971.11,24806.88,25479.65,31674.06,32699.2,35557.5,38268.12,34620.39,36512.56,37658.4,34223.4838
HUM US  EQUITY,HISTORICAL_MARKET_CAP,2872.3051,3257.4525,4437.4601,4076.7824,2903.5079,3292.9943,3090.939,3583.1399,3779.2956,3900.6304,3404.2035,4121.2322,5204.6634,2734.2485,2983.8609,2890.7377,2168.131,1151.7206,1371.5291,1226.6499,817.6789,1801.5172,2578.2564,1770.879,1664.2561,2035.5954,1990.2934,2284.8924,2649.5507,2074.2099,1629.72,1543.5552,2441.0359,2907.7648,3699.2058,3077.8165,2699.4833,3184.2713,4758.3142,5165.7221,6447.1065,7793.3466,8867.5483,8668.7315,8863.9487,10986.0388,9216.5011,9749.5063,10267.1555,11839.9312,12804.0825,7590.8645,6716.8541,6950.9021,6293.813,4423.6724,5473.1492,6334.7513,7469.2024,7960.1282,7728.8449,8456.3238,9220.936,11777.5027,13436.4499,11891.6318,14368.4179,15090.8161,12523.0113,11099.3964,10866.3159,10884.946,13202.3581,14551.3882,15899.0188,17447.2789,19701.4407,19933.0175,21487.624,26664.062,28336.922,26532.0829,26470.8937,27266.2558,26814.2331,26374.5076,30478.5415,29749.0786,34773.7291,34805.0052,34153.9541,37013.098,41002.5228,46440.5026,38837.1402,
HBAN US  EQUITY,HISTORICAL_MARKET_CAP,2755.8489,3026.6101,3193.2239,3175.6136,3169.6689,3320.4871,4525.9236,4571.8839,5111.6023,6892.77,6902.532,7007.6236,6446.2708,5313.3344,6335.5517,6577.1994,7339.8502,6104.2655,5464.7063,4966.8568,3613.2038,3684.3531,4060.7877,3576.7785,4104.7821,4348.1507,4318.0217,4924.8411,4717.504,4320.9306,4357.1633,4250.4465,4461.1573,4543.0695,5152.682,5053.9023,5273.3585,5733.1361,5729.9147,5549.3892,5572.5264,5145.7608,5322.5216,5916.2764,5596.9802,5693.4513,5592.5162,5150.34,5372.19,6212.9555,5406.0223,3936.9311,2112.9553,2924.8894,2804.0017,648.5315,2377.3384,3365.1493,2612.5301,3862.2403,3970.0892,4080.4822,5931.0045,5732.9666,5663.3995,4147.5594,4745.5898,5572.8273,5493.7675,5898.5717,5385.5732,6181.6464,6529.5416,6856.9948,8018.7971,8252.8849,7794.2019,7924.637,8536.5032,8934.2371,9082.6737,8444.5901,8791.9135,7600.4138,7144.4367,10695.9577,14352.8025,14556.5365,14737.0227,15090.0106,15608.7085,16637.1161,16298.3847,15838.0165,12477.4656,
HII US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2023.7824,1683.5745,1187.5069,1527.1385,1989.7053,1991.6508,2084.9697,2149.664,2677.166,2812.704,3336.3,4383.487,5031.192,4597.074,5054.185,5431.818,6811.29,5415.579,5057.48,5949.265,6449.874,7880.607,7134.03,8509.578,9251.088,8470.28,10257.732,10630.07,11496.096,9430.365,11011.44,7973.989,
IDXX US  EQUITY,HISTORICAL_MARKET_CAP,826.488,1358.6565,1717.803,1541.778,1450.4052,1701.8978,1359.8639,533.82,472.8613,637.4882,608.3184,691.254,960.1501,922.5777,1044.7966,935.2142,921.4499,650.731,575.4206,826.1018,802.1805,905.327,731.082,718.4093,1037.8437,780.4645,961.9274,911.218,858.2138,1031.4349,1390.5734,1187.7211,1136.3531,1474.783,1474.783,1975.7776,2165.8283,1710.6991,1806.4923,1769.7321,2029.7141,2151.4626,2290.4036,2730.4442,2343.0042,2848.2161,2471.3846,2717.3187,2884.2278,3350.3855,3576.6646,2975.1562,2902.1258,3257.6955,2136.7658,2039.1134,2705.934,2926.5,3111.6452,3311.1968,3508.6926,3540.8147,3967.0674,4426.0187,4407.8124,3876.3209,4240.573,4815.0845,5274.1725,5434.3456,5058.3424,5010.0325,4722.1785,5178.8105,5482.2034,6226.606,6730.4587,5687.4184,7023.9947,7229.0461,5941.673,6771.6,6562.4354,7013.2427,8316.5416,10112.6701,10316.711,13595.3211,14115.6947,13574.4325,13621.3235,16650.3558,18884.9369,21607.0744,16016.136,
INFO US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4825.8592,4241.8705,4823.6735,5058.4267,4518.5107,5208.788,5333.661,6368.4822,6368.4822,15745.308,14915.1,16194.62,18303.32,18684.476,17812.304,18810.59,19317.76,21681,21193.227,
ITW US  EQUITY,HISTORICAL_MARKET_CAP,6453.26,6921.0506,6975.7471,7913.0727,8370.9609,8932.9695,9895.3944,10217.6922,12454.8122,12394.7454,15007.0802,16180.1828,16669.6079,13628.4337,14517.8228,15497.6453,20486.795,18692.8185,20307.1931,16659.9185,17204.5945,16881.1218,18014.5589,17276.8587,19275.8004,16486.1271,20649.5884,22149.7357,20926.6423,17874.2947,19884.9739,17884.6721,20272.7127,20416.1643,25897.7301,24541.6521,28983.8059,27549.4375,27083.7248,25999.3339,22786.3645,23093.8087,24708.7858,27320.115,26974.6104,25452.8318,25808.6421,28726.7127,29914.7587,32441.4762,28381.3789,25213.7703,24675.1926,22721.1819,17493.9797,15399.2403,18675.4315,21393.8622,24107.1143,23797.7112,20784.9345,23318.6731,26579.5457,26862.654,27760.0061,20100.8412,22589.332,27266.5629,24795.7671,27561.3267,27671.6914,27449.3593,30979.8907,33851.5145,36174.2096,33555.6523,34718.6789,33002.6167,36288.6814,35717.5287,33603.2697,29919.0079,33707.716,36813.8988,36972.6658,42064.4085,42481.374,45768.385,49292.325,50691.096,56979.275,53070.5522,46466.316,46823.616,41566.989,
ILMN US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1449.2512,513.4378,226.6568,378.7741,209.43,368.4346,305.8418,217.6474,110.1411,101.4,78.4536,93.8031,169.1775,230.5357,229.2095,243.5443,235.6966,361.3841,311.4526,498.8214,527.1307,582.2454,990.4102,1362.9517,1536.6196,1841.9688,1570.6498,2189.9432,2837.856,3328.6334,2090.3261,2480.6054,5246.5053,3068.7781,4579.1655,4737.1252,5086.2637,3665.518,4786.4744,5355.4765,6138.4087,8019.368,8712.8203,9451.0654,4969.2956,3719.8097,6494.5998,4967.5625,5945.8685,6785.8792,6713.9534,9364.0393,10239.344,14098.0647,18235.368,24074.38,23492.48,27030.9778,26971.197,31553.282,25699.056,28136.0659,24561.792,20631.018,26685.854,18718.9358,24913.44,25333.92,29083.2,32118.03,34753.74,41055.63,53957.82,43839.81,
INCY US  EQUITY,HISTORICAL_MARKET_CAP,130.0175,178.965,249.9,282.435,401.8598,508.2165,538.0205,545.064,708.257,1009.092,1172.43,1240.0437,909.909,589.6237,1040.1462,559.9845,740.8052,658.0219,1733.4,2780.6874,2629.0138,2639.1145,1634.0885,1009.8458,1626.3742,907.0542,1297.5423,799.7425,490.936,315.1962,306.3317,214.2976,350.7754,335.4732,496.2072,604.5857,560.5468,711.2593,829.3939,567.6695,596.3481,392.0824,443.3397,503.5405,385.6961,354.703,490.4007,553.511,505.2756,602.2326,849.5573,889.4151,646.7712,743.3599,368.918,227.7752,321.7128,800.148,1083.1182,1686.6389,1350.1584,1958.3801,2041.5246,1962.3527,2388.1629,1764.271,1898.3447,2471.1594,2953.8685,2366.6001,2216.8069,3172.7523,3364.1326,6137.6118,8251.9143,8964.217,9503.1488,8282.1456,13645.9997,15892.647,18777.756,20516.5527,20242.2195,13581.0323,15025.5215,17750.9386,18935.8644,27344.0311,25890.9967,24634.4008,20008.7098,17656.6425,14231.4132,14697.048,13562.1356,
